Q,A
简述恒参信道和随参信道对数字信号传输的影响及克服方法？,恒参信道信号传输的影响是引起幅频特性和相频特性的畸变，从而最终导致产生码间干扰。克服方法主要是采用均衡技术。随参信道对信号传输的影响是引起衰落，克服方法主要是分集接收。
用香农公式来解释调频方式与调幅方式性能上的优劣关系。,香农公式表示在信道容量一定的情况下，信道带宽越宽（有效性下降），则要求信道提供的信噪比可以越小（可靠性提高），即可以提高抗干扰能力。对于调幅方式，其占用的频带要比调频方式占用的频带小，而抗干扰能力则要比调频方式的差，这正好符合香农公式所反映的两者间关系
什么叫抽样、量化和编码？,抽样 ：将时间上连续的信号处理成时间上离散的信号。量化：对时间上离散的信号处理，使其在幅度上也离散。编码：将量化后的信号样值幅度变换成对应的二进制数字信号码组过程
非均匀量化的目的是什么？,首先，当输入量化器的信号具有非均匀分布的概率密度时，非均匀量化器的输出端可以得到较高的平均信号量化噪声功率比。其次，非均匀量化时，量化噪声对大、小信号的影响大致相同，即改善了小信号时的量化信噪比。
抽样的任务是什么？抽样后的信号称为什么？,任务是让原始的模拟信号在时间上离散化，抽样后的信号为PAM信号.
为什么要进行量化？8位二进制码可以表示多少种状态？,量化是让信号在幅度上离散化，8位二进制码表示28=256种状态
PCM通信能否完全消除量化误差？为什么？,量化是用有限个值代替了无限个值，用量化值和其所代表的样值之差来作为量化噪声，该噪声只能通过增加量化级数，即减小量化级长的方法来减弱，但无法消除。
PCM通信中发端抽样后和收端分路后各有一个3.4KHZ的低通波波器，这两者作用各有什么不同？,发端滤波器的作用是：限制输入信号的最高频率，以免抽样电路对该信号抽样时不满足抽样定理而产生折迭噪声，收端滤波器的作用是：从PAM信号中检出包络线，即取出原始信号的波形（低频分量），实现原始模拟信号的还原。
抽样后为什么要加保持电路？,"抽样进为防止相邻话路样值在公共通道上挨得太近会导致串音以及样值脉冲顶部不平坦导致不能选取量化标准.抽样脉冲的宽度通常取得很小,一般远小于一个时隙的宽度,即n位码宽,所以在抽样后编码前加保持电路,将样值脉宽展宽为一个时隙宽度。"
非均匀量化的实质是什么？,压缩扩张和均匀量化结合形成非均匀量化，在发端均匀量化前通过扩张提高小信息的幅度，即可提高信噪比，在收端再通过相逆压缩对小信息幅度还原。
自适应量化的基本思想是什么？自适应预测的基本思想又是什么？,自适应量化是使量化级差跟随输入信号变化，使不同大小的信号平均量化误差最小，从而提高信噪比。自适应预测的基本思想是使预测系数跟随输入信号而变化，从而保证预测值与样值最接近，即预测误差最小。
根据低通型抽样定理试讨论、何时出现的情况（为抽样频率，为信号的最高频率）？,当时频谱前后相连，采用截止频率为的理想低通滤波器可以还原出信号。当时频谱间有一些空隙，同样可以采用截止频率为的理想低通滤波器还原出信号。在时频谱产生重叠现象，此时还原不出原始信号。
简述带通型信号的抽样不易采用低通型抽样定理进行抽样的原因？,带通型信号是指信号的带宽的信号，该信号若采用低通型抽样定理进行抽样可以符合抽样要求，但将带来频谱利用不合理，抽样速率较高的现象，因此应采用带通型抽样定理进行抽样可以降低抽样速率。
信源编码和信道编码有什么区别？为什么要进行信道编码？,信源编码是完成A/D转换。信道编码是将信源编码器输出的机内码转换成适合于在信道上传输的线路码，完成码型变换。
时分多路复用的概念是什么？,时分多路复用就是在一条信道的传输时间内，将若干路离散信号的脉冲序列，经过分组、压缩、循环排序，成为时间上互不重迭的多路信号一并传输的方式。
对某一话路来说，每秒抽样多少个样值？对于30/32路PCM基群端机来说，每秒钟共抽样多少次？,一路信号，每秒抽样8k次，对PCM基群来说，每秒抽样30×8k=240k次
增量调制中会产生哪两种噪声，分别是怎样形成的，如何改善？,调制会产生两种噪声：一般噪声和过载量化噪声，前者是有在量化时抽样值与量化电平的误差产生的，后者是由于台阶信号的变化速度赶不上模拟信号的变化速度造成的，要改善前者可通过减小量化台阶，改善后者可通过增大采样频率来实现
带限传输对数字信号有什么影响？码间干扰是怎样形成的？,理论上数字信息的频带为无穷大，这样无限带宽的信号通过实际的信道传输时，由于实际信道带宽有限，信号波形必然会产生失真，从而产生码间干扰.
常用的数字键控方式用哪些？,ASK（幅度键控）：用基带数字信号对高频载波信号的幅度进行控制的方式。FSK（移频键控）：用基带数字信号对载波信号的频率进行控制的方式。2PSK（绝对移相键控）：用基带数字信号对载波的相位进行控制方式。2DPSK（相对移相键控）：2DPSK信号的产生方法和绝对移相一样，只需将输入码序列先变换为相对码序列，然后用此相对码去进行绝对移相，便可以获得 2DPSK信号。
模拟和数字调制其原理是一样的，但在实现时为何数字调制却不采用模拟调制电路来实现？,这是由于数字信号可以看作是模拟信号的特殊情况，因此从调制的原理上看完全一致的，数字调制不采用模拟调制器来实现的原因是数字调制可以利用数字信号的开关特性来实现调制，这样可以使实现方便、电路简单。
一个采用非相干解调方式的数字通信系统是否必须有载波同步和位同步？其同步性能的好坏对通信系统的性能有何影响？,采用非相干解调方式的数字通信系统可以不需要载波同步，但必须有位同步。位同步的性能好坏将直接影响到抽样判决的结果，最终影响系统的误码率的大小。
简述为什么实际的数字调相不能采用绝对调相而采用相对调相？,数字调相系统多采用直接法载波同步方式，因此存在载波相位模糊现象。对于绝对调相的基带码元与载波相位间关系是固定的，因此载波相位模糊使得解调出的基带信号出现不确定，从而无法实现正常传输。而相对调相是利用载波相位的变化来表示基带码元，因此载波相位模糊不会影响载波相位的变化，故对相对调相解调出的基带信号不会产生影响。
简述数字调制与模拟调制之间的异同点？多进制调制与二进制调制相比具有什么特点？,数字调制与模拟调制就调制原理而言完全一样，因为数字信号可以看作是模拟信号的特殊情况。然而由于数字信号具有开关特性，因此数字信号的调制可以利用其开关特性来实现，即键控方式，这样可以使调制实现起来简单。多进制调制相比二进制调制在信息速率相同的情况下，可以获得较高的频谱利用率，进制数越高，频谱利用率也就越高。但抗干扰能力则较二进制有所下降，且进制数越高，抗干扰能力越差。
根据如图所示的数字通信系统模型，简述其中各部分与有效性和可靠性两项指标的关系？,信源编码、解码考虑传输效率。加密、解密根据方法不同可能会带来有效性下降。信道编码、解码考虑适应信道，提高可靠性为主要目的，有效性将下降。调制、解调考虑适应信道，可靠性和有效性相矛盾，占用频带小的调制其可靠性将降低。信道传输特性的不理想和噪声的干扰是影响可靠性的主要因素。
简述恒参信道和随参信道对数字信号传输的影响及克服方法？,恒参信道信号传输的影响是引起幅频特性和相频特性的畸变，从而最终导致产生码间干扰。克服方法主要是采用均衡技术。随参信道对信号传输的影响是引起衰落，克服方法主要是分集接收。
对于抑制载波的双边带信号，试简述采用插入导频法和直接法实现载波同步各有何优缺点？,插入导频法：插入导频法需要在发送端加导频插入电路，在接收段需加导频提取电路。直接法：是从接收到的已调信号中提取载波，由于DSB信号其功率谱中不含有载波分量，必须加一非线性电路，然后再提取。相比较而言，直接法无需在发送端增加任何电路，因此直接法较插入导频法容易实现且对信号传输的影响要小。
试对AM和DSB可否采用包络检波方式进行解调进行讨论？,AM已调信号波形的包络即为调制信号，采用包络检波的方式获得AM的包络线即恢复出原始信号。DSB已调信号波形的包络与调制信号的波形不一样，因此采用包络检波的方式所获得的DSB包络线不是已调信号波形，无法恢复出原始信号。
在数字基带传输系统中，传输码的结构应具备哪些基本特性？,传输码应具备的特性为：①易于时钟提取。②无直流、高频和低频分量要少。③尽可能提高传输码的传输效率。④具有一定的检错能力。⑤设备简单。
根据传输码应具备的特性，简述NRZ、RZ、AMI、HDB3、可否作为传输码？,NRZ码含有直流且低频丰富，不易时钟提取，无检测差错能力，不适合。RZ码含有直流且低频丰富，可以时钟提取，无检测差错能力，不适合。AMI码无直流、低频少，虽无时钟但易提取，有检测差错能力，适合。HDB3码无直流、低频少，虽无时钟但易提取，有检测差错能力，弥补了AMI码受长串连0的影响但电路略比AMI码复杂，可以作为传输码。
试比较传输码AMI码和HDB3码之间的特点？,AMI码和HDB3码的共同点：不含直流分量、高低频分量较少。易于提取位定时的信息。具有一定的检错能力。适合于用作传输码。AMI码和HDB3码的不同点：AMI码受信源的统计特性影响较大，尤其是出现长串连0时严重影响时钟的提取。HDB3码解决了AMI码中长串连0的问题，最大连0数不超过3个。
简述无码间干扰条件 的含义？,含义是：把从波形形成输入到接收滤波器输出的传递函数H(ω)的幅频特性在ω轴上以2π/TS为间隔切开，然后分段沿ω轴平移到(-π/TS，π/TS)区内将它们叠加起来，其结果应当为一固定值TS，即叠加后的结果为理想低通特性就可以做到在抽样点上无码间干扰。
在数字基带传输系统中，是什么原因导致码间干扰？简述部分响应波形中是否存在码间干扰？,数字基带传输系统中由于传输特性的不理想，即频率特性失真，将引起脉冲信号的拖尾等现象，从而对后面的脉冲产生干扰，即码间干扰。部分响应波形是将当前的脉冲响应波形与该脉冲、延时一各码元周期后的响应波形进行叠加的结果，显然在后一位码的位置存在有一个幅度与当前码幅度相等的人为码间干扰，由于该码间干扰是已知的，因此可以消除，也即对于部分响应来讲可以实现无码间干扰传输。
部分响应技术具有什么特点？设有一数字码序列为1001010110001，若采用第一类部分响应传输，请写出相关编码后的数字序列？,特点：人为加入码间干扰，在收端可以消除，带来频谱利用率等于理想低通2B/s.Hz，相应波形的收敛加快从而减小定时抖动和漂移带来的影响。关编码为：0+2+20-20+200+2+2+20
模拟和数字调制其原理是一样的，但在实现时为何数字调制却不采用模拟调制电路来实现？,这是由于数字信号可以看作是模拟信号的特殊情况，因此从调制的原理上看是完全一致的，数字调制不采用模拟调制器来实现的原因是数字调制可以利用数字信号的开关特性来实现调制，这样可以使实现方便、电路简单。
试说明数字相位调制可以采用数字调幅的方式来实现的道理？,从数字相位调制的数学表示观察，显然、由调制信号确定，由此可见原来载波相位受调制信号控制的调相变成了幅度受调制信号控制的正交调幅。即数字调相可以用正交调幅来实现。
试从占用频带和抗干扰方面比较三种数字调制（2PSK、2FSK、2ASK）方式之间的特点？,2PSK的表示可写成正交调幅，由此其占用频带与调幅一样为，而2FSK的占用频谱为，因此2FSK占用频带要大于2ASK和2PSK。2ASK、2FSK和2PSK的抗干扰能力（均为相干解调）为：2ASK>2FSK>2PSK。显然2PSK的抗干扰性能优于2FSK，2FSK的抗干扰性能优于2ASK。
对于电话信号为什么要采用非均匀量化？,由于电话信号小信号的概率大，采用均匀量化时小信号的量化误差较大（量化信噪比不够）。
简述PCM传输各部分的作用？,作用：抽样----将连续的模拟信号进行时间上的离散。量化----将时间离散幅度连续的模拟信号进行幅度取值上的离散。编码----将时间离散和幅度离散的多进制数字信号编成二进制码。信道----用于信号传输媒介和设备。干扰----传输信号的信道和设备所带来的噪声。译码----编码的反变换过程。低通----将译码输出的样值信号平滑还原成原始模拟信号。
在我国的数字复接等级中，二次群的码元速率为8448kb/s，它是由四个码元速率为2048kb/s的基群复合而成。试解释为什么二次群的码元速率不是基群码元速率的四倍（8192kb/s）？复接中采用的是什么方式的码速调整？,这是由于四个基群的码元速率存在偏差，因此在复接前必须进行码速调整，同时还需要加入同步码，因此要将2048kb/s调整到2112kb/s然后才能进行复接。采用正码速调整
解释最佳基带传输系统的含义？,在理想信道下的最佳基带传输系统的结构具有什么特点？最佳基带传输系统的含义是消除码间干扰且抗噪声性能最理想的系统。在理想信道符合恒参信道且传输特性不会带来频率失真，因此不用考虑码间干扰，此时基带传输系统的结构为接收滤波器的特性与信号特性共轭匹配。
简述连贯式插入法帧同步的基本方法？,连贯式插入法是在每帧的开头集中插入帧同步码组的方法，接收端只要检测出帧同步码的位置，就可识别出帧的开头，从而确定各路码组的位置获得收发间的帧同步。
为什么直接法载波同步方式要采用“非线性变换+滤波”或“非线性变换+锁相”？,由于相调制方式，如DSB、SSB、PSK、QAM等，其已调信号的功率谱中不含有载波频率的成分。因此无法用窄带滤波器或锁相环直接从信号中提取出载波频率。这时首先需要将接收到的已调信号通过一个非线性的电路来产生载波频率（通常是载波频率二次谐波），然后再用窄带滤波器或锁相环来滤出载波频率。
试简述采用插入导频法和直接法实现位同步各有何优缺点？,插入导频法需要在发送端加导频插入电路，在接收段需加导频提取电路。直接法是从接收到的基带信号中提取位时钟，必须加一非线性电路来处理，然后再提取。直接法无需在发送端增加任何电路，因此直接法较插入导频法容易实现且对信号传输的影响要小。
部分响应系统的优点是什么呢？缺点是什么？（或采用部分响应技术会得到什么好处？需要付出什么代价？）,优点：频带利用率高，在理论上可达到2Bd/Hz。时域衰减快，可以放宽对定时信号相位抖动的要求，系统的频率特性不是理想矩形，易于实现。缺点：抗噪声能力比非部分响应系统差。
在设计数字通信接收机输入端带通滤波器的频率特性时，应考虑哪些因素？（至少给出两个因素并说明它们与频率特性的关系）,数字通信接收机输入端带通滤波器的带宽应尽量小，以尽可能多地滤除信道噪声，提高带通滤波器输出信噪比，减小误码率。另外整个通信系统的频率特性应满足无码间串扰的要求，而通信系统的频率特性与接收机输入端带通滤波器的频率特性有关，所以设计此带通滤波器时应满足无码间串扰的条件下，尽量减小滤波器的带宽。
如何由白噪声得到窄带白噪声，窄带白噪声的功率与其同相分量的功率及正交分量的功率有何关系,将白噪声通过窄带带通滤波器，就可以得到窄带白噪声，窄带白噪声的功率与其同相分量的功率以及正交分量的功率是相同的。
定性说明误码率与码间串扰、信噪比、位同步信号相位抖动大小及码速率之间的关系。,码间串扰越大，误码率越大。信噪比越大，误码率越大。位同步信号相位抖动越大，误码率越大。码速率越大，误码率越大。
在2FSK通信系统中，若1码和0码对应的信号幅度不相同，当无噪声时，对传输信息有影响吗？为什么？,无影响，因为信息是通过两个频率传输的，与信号幅度无关。
升余弦滚降信号的时域和频域衰减速度有何特点？,升余弦滚降信号的时域衰减速度快，频域衰减速度慢。
时域均衡中横向滤波器的抽头级数与什么因素有关？,抽头级数与输入信号码间串扰个数有关，若有2N个码间串扰值，则抽头级数应该为2N+1。
数字基带信号码型变换的目的是什么？常用码型换有哪些？,便于在数字基带信道中传输和接收判决。HDB3、CMI、AMI等。
"简要叙述匹配滤波器的原理，若匹配滤波器输入信号频谱为s(f)，信号能量为E,高斯噪声的双边功率谱密度为n0/2，试给出匹配滤波器的传输函数H（f）和输出最大信噪比。",对于特定的滤形的输入信号，匹配滤波器能在判决时间t0提供最大的输出信噪比。H(f)=s*(f)e-j2πft0，r0_max=2E/n0。;试定性说明相干解调和非相干解调在大信噪比和小信噪比时的抗噪声性能。;对小信噪比相干解调和噪声性能优于非相干解调，对大信噪比两者噪声性能差不多。非相干解调存在门限效应，而相干解调没有。;为什么PCM编码要用对数量化？A律和u律PCM量化特性为什么要用折线代替对数特性？
试画出2DPSK信号差分解调的原理框图，和相干解调相比其噪声性能哪种方法好，为什么？,相干解调比差分相干解调噪声性能好，因为它的本地载波包含的噪声小，而后者是用前一码元的波形来代替本地载波，包含了信道噪声。
QPSK信号是不是恒定包络调制信号？试定性说明QPSK信号经非线性放大器后，产生信号频谱扩展的原因。,不是恒定包络。当QPSK信号出现180度相位跳变时，经过发送滤波器后，信号包络会过零，如果此信号再经非线性放大器，原本下降的包络会被提升，即带外高频分量增大，信号频谱扩展。
设计数字通信接收机输入带通滤波器频率特性时应考虑哪些因素？,BPF的通带应等于信号的有效频率范围，让信号不受影响地通过，而输入噪声功率最小。
什么是奈奎斯特速率？什么是奈奎斯特带宽？,奈奎斯特速率是能消除码间串扰的最大码速率，又称为等效带宽。当码速率等于它的两倍时无码间串扰。
数字信号的最佳接收准则是什么？其物理含义是什么？,使接收的误码率最小，在接收判决时的信噪比最大。
通信系统调制器的作用是什么？何谓线性调制？何谓非线性调制？,让载波的参数随调制信号的变化而变化，已调波的频谱是调制信号的频谱经过平移和滤波而得到的，已调波的频谱与调制信号的频谱没有对应关系。
简述随参信道的特点,信号传输延时随时间而变，对信号的衰减随时间而变，存在多径传输现象。
窄带高斯白噪声中的“窄带”、“高斯”、“白”的含义各是什么？,窄带的含义是：频带宽度B远小于中心频率fc，中心频率fc远离零频。高斯的含义是噪声的瞬时值服从正态分布。白的含义是噪声的功率谱密度在通带范围B内是平坦的为一常数。
什么是门限效应？AM包络检波法为什么会产生门限效应？,小信噪比时，解调输出信号无法与噪声分开，有用信号“淹没”在噪声之中，这时候输出信噪比不是按比例地随输入信噪比下降，而是急剧恶化，这种现象称为门限效应。由于包络检波法的非线性作用，所以AM信号会产生门限效应。
简要非均匀量化原理，与均匀量化相比较，非均匀量化的主要优点和缺点。,非均匀量化是指量化间隔不相等的量化。信号小时，量化间隔也小，信号大时，量化间隔也大。优点：能改善小信号的信噪比，减小编码位数和传输带宽。缺点：实现相对复杂些。
简述数字基带传输系统中，造成误码的主要因素和产生原因。,码间串扰和信道噪声是造成误码的两大因素，码间串扰是由于基带传输总特性不理想造成的。信道噪声是一种加性随机干扰，来源有很多，主要代表是起伏噪声（如热噪声）。这两类干扰都会对信号的接收判决产生影响。
简述通信系统中采用调制的目的。,把基带信号转换成适合在信道中传输的已调信号（即实现有效传输、配置信道、减小天线尺寸），实现信道的多路利用，以提高信道利用率，改善系统抗噪声性能（与制式有关）。
在脉冲编码调制中，与自然二进制相比，选用折叠二进制码的主要优点是什么？,简化编码过程，在有误的情况下，对小信号的影响小。
香农公式的物理意义是什么？,香农公式为C=Blog2(1+S/N)，信道容量虽信噪比的增加而增大，随着待带宽趋于无穷大而趋近于一个常数。
以无线广播和电视为例，说明图1-1模型中的信息源，受信者及信道包含的具体内容是什么,在无线电广播中，信息源包括的具体内容为从声音转换而成的原始电信号，收信者中包括的具体内容就是从复原的原始电信号转换乘的声音。在电视系统中，信息源的具体内容为从影像转换而成的电信号。收信者中包括的具体内容就是从复原的原始电信号转换成的影像。二者信道中包括的具体内容分别是载有声音和影像的无线电波。
单工，半双工及全双工通信方式是按什么标准分类的？解释他们的工作方式并举例说明,他们是按照消息传递的方向与时间关系分类。单工通信是指消息只能单向传输的工作方式，通信双方只有一个进行发送，另一个只能接受，如广播，遥测，无线寻呼等。半双工通信指通信双方都能进行收发信息，但是不能同时进行收发的工作方式，如使用统一载频的普通对讲机。全双工通信是指通信双方能同时进行收发消息的工作方式，如电话等。
何为确知信号？,确知信号是指其取值在任何时间都是确定的和预知的信号。
试分别说明能量信号和功率信号的特性。,能量信号的其能量为有限的正值，但其功率等于零。功率信号其能量为无穷大，其平均功率为有限值。
试用语言描述单位冲击函数的定义。,单位冲击函数是宽度趋于零，幅度趋于无穷大，积分面积为1的理想信号。
试描述信号的四种频率特性分别适用于何种信号。,功率信号的频谱适合于功率有限的周期信号，能量信号的频谱密度适合于能量信号，能量信号的能谱密度适合于能量信号，功率信号的功率频谱适合于功率信号。
频谱密度S（f）和频谱C（jnw。）的量纲分别是什么。,分别为伏特/赫兹和伏特。
自相关函数有哪些性质？,"（1）自相关函数是偶函数。（2）与信号的能谱密度函数或功率谱密度函数是傅立叶变换对的关系。3当I=0时,R(0)等于信号的平均功率或信号的能量"
平稳随机过程的自然相关函数具有什么特点？,平稳随机过程的自然相关函数与时间起点无关，只与时间间隔有关，而且是偶函数。
什么是高斯噪声？什么是白噪声？它们各有什么特点？,高斯噪声：概率密度函数符合正态分布的噪声。高斯噪声的特点：它的n维分布仅由各随机变量的数学期望、方差和两两之间的归一化协方差函数决定。若高斯噪声是宽平稳，则也是严平稳的。若随机变量之间互不相关，则也是统计独立的。白噪声：功率谱密度在整个频域内均匀分布的噪声，属于一种理想宽带过程。白噪声的特点：白噪声只在tao=0时才是相关的，而在其他任意时刻上的随机变量都不相关。
什么是窄带随机过程？它的频谱和时间波形有什么特点？,如果随机过程的频谱密度分布在一个远离零频的很窄的频率范围内，则称其为窄带随即过程。其频谱分布特点是带宽远小于中心频率，时间波形上的特点是呈现出包络和相位随机缓慢变化的正弦波。
什么是窄高斯噪声？他在波形上有什么特点？它的包络和相位各服从什么概率分布？,窄带高斯噪声：若一个高斯噪声满足窄带条件，即其带宽远远小于中心频率，而且中心平率偏离零频很远，则称之为窄带高斯噪声。其波形上的特点是包络和相位都像一个缓慢变化的正弦波。其包络的一维分布服从瑞利分布，其相位的一维分布服从均匀分布。
何为高斯白噪声？它的概率密度函数、功率频谱密度如何表示？,如果白噪声取值的概率密度分布服从高斯分布，则称之为高斯白噪声，其概率密度函数为高斯函数，其功率谱密度为常数。
不相关、统计独立、正交的含义各是什么？他们之间的关系如何？,如果两个随机变量的协方差函数为零，则称他们不相关。如果两个随机变量的联合概率密度等于它们各自概率密度的乘积，则称他们统计独立。如果两个随机变量的互相关函数为零，则称他们正交。两个均值为零的随机变量如果统计独立，则一定是正交及不相关，两个均值为零的随机变量正交与不相关等价。
无线信道有哪些种,无线通讯更具通讯距离，频率和位置的不同，分为地波、天波和视距传播和散射传播等
地波传播距离能达到多远 他适用在什么频段,地波传播在数百米到数千千米，应用与低频和甚低频，大约2MHZ
天波传播距离能达到多远 他适用在什么频段,天波传播能达到一万千米以上，应用于高频，2MHZ-30MHZ
视距传播距离和天线高度有什么关系,天线高度越高，视距传播的距离越远，其具体关系为H=D^2/50 其中H 为天线高度，单位为米，D为视距传播距离，单位为千米
散射传播有哪些种 各适用在什么频段,散射传播分为电离层散射、对流散射和流星余迹散射。电离层散射发生在3OMHZ~60MHZ对流层散射发生在100MHZ~4000MHZ。流星余迹散射发生在30MHZ~100MHZ
什么是衰落 什是慢衰落,由多径效应引起的衰落称为快衰落。由信号路径上由于季节，日夜，天气等变化引起的信号衰落称为慢衰落。
何谓恒参信道 何谓随参信道 他们分别对信号传输有哪些主要影响,信道特性基本上不随时间变化或者变化很慢称为恒参信道，信道特性随机变化的信道称为随机信道，恒参信道对信号传输的影响可以完全消除，而随参信道对信号传输的影响只能在统计平均的意义下消除。
何谓加性干扰 何谓乘性干扰,不论信号有无都存在的噪声称为加性干扰，随信号大小变化的干扰称为乘性干扰
有线电信道有哪些种,传输电信号的有线信道有明线、对称电缆和同轴电缆
何谓阶跃型光纤 何谓梯度型光纤,折射率在两种介质中均匀不变，仅在边界处发生突变的光纤称为阶跃光纤，纤芯折射率延半径增大方向逐渐减小的光纤称为梯度型光纤
何谓多模光纤 何谓单模光纤,有多种光线传播路径的光纤称为多模光纤，只有一种光线传播路径的光纤称为单模光纤
适合在光纤中传播的光波波长有哪几个 1.31UM 1.55UM,1.31UM 1.55UM
信道中的噪声有哪几种,信道中得噪声可以分为脉冲噪声、窄带噪声、起伏噪声
热噪声是如何产生的,热噪声起源于一切电阻性元器件中得电子热运动
信道模型有哪几种,信道可以分为离散信道和连续信道
试述信道容量的定义,信道容量是指信道能够传输的最大平均信息量
试写出连续信道容量的表达式 由此式看出信道容量的大小决定于哪些参量,连续信道的信道容量计算式为Ct=Blog2(1+S/N)(b/s)，可以看出信道容量与信道的带宽B，信号的平均功率S和噪声的平均功率N有关。
数字基带传输系统的基本结构及各部分的功能？,数字基带传输系统由发送滤波器、信道、接收滤波器、抽样判决器及定时和同步系统构成。发送滤波器的功能是产生适合于信道传输的基带信号波形。信道的作用是传输基带信号。信道的作用是传输基带信号。接收滤波器的作用是接收信号，尽可能滤除信道噪声和其他干扰，对信道特性进行均衡，使输出的基带波形有利于抽样判决。抽样判决器的作用是使再传输热性不理想及噪声背景下，在规定时刻对接收滤波器的输出波形进行判决，以恢复或再生基带信号。定时和同步系统的作用是为抽样判决器提供准确的抽样时钟。
数字基带信号有哪些常见的形式？各有什么特点？它们的时域表达式如何？,"数字基带信号的常见形式有：单极性波形，双极性波形，单极性归零波形，双极性归零波形，差分波形和多电平波形。单极性波形用正电平和零电平分别对应二进制码“1”和“0”，其波形特点是电脉冲之间无间隔，极性单一，易用于TTL,CMOS电路，缺点是有直流分量，只使用于近距离传输。双极性波形用正负电平的脉冲表示二进制1和0，其波形特点是正负电平幅度相等，极性相反，故1和0等概率出现时无直流分量，有利于在信道中传输，并且在接收端恢复信号的判决电平为零，不受信道特性变化影响，抗干扰能力强。单极性归零波形电脉冲宽度小于码元宽度，信号电压在一个码元终止时刻前总要回到零电平。从单极性归零波形中可以直接提取定时信息。双极性归零波形兼有双极性和归零波形的特点。相邻脉冲之间存在零电位间隔，接收端易识别码元起止时刻，从而使收发双方保持正确的位同步。差分波形用相邻码元的电平跳变来表示消息代码，而与码元本身的电位或极性无关。用差分波形传送代码可以消除设备初始状态的影响，特别是在相位调制系统中可以解决载波相位模糊的问题。多电平波形的一个脉冲对应多个二进制码，在波特率相同的情况下，可以提高信息传输速率。"
数字基带信号的功率谱有什么特点？它的带宽只要取决于什么？,"数字基带信号的功率谱密度可能包括两个部分，连续谱部分Pu（w）及离散谱部分Pv(w)。对于连续谱而言，代表数字信息的g1(t)及g2(t)不能完全相同，所以Pu（w）总是存在的。而对于离散谱P=1/[1- g1(t)/ g2(t)]=k,且0≤k≤1时，无离散谱。它的宽带取决于一个码元的持续时间Ts和基带信号的码元波形的傅里叶变换形式。"
简述双相码和差分双相码的优缺点。,双相码的编码原则是对每一个二进制码分别用两个具有不同相位的二进制新码去表示源码。0→01（零相位的一个周期的方波）1→10（pi相位的一个周期方波）。其优点是只用两个电平，能提取足够的定时分量，又无直流漂移，编码过程简单。其缺点是占用带宽加倍，使频带利用率降低。差分双相码中，每个码元中间电平跳变用于同步，而每个码元的开始处是否存在额外的跳变用来确定信码。有跳变则表示1，无跳变则表示0，其优点是解决了双相极性翻转而引起的译码错误，其缺点也是占用带宽加倍。
在二进制数字基带传输系统中，有哪两种误码？他们各在什么情况下发生？,误码将由2种错误形式：发送1码，误判为0码，这种错误是在噪声的影响下使得x<Vd（x为接受滤波器输出的瞬间值，Vd为判决门限）时发生，同理，发送0码，误判为1码，这种错误在x>Vd时发生。
无码间串扰时，基带传输系统的误码率与哪些因素有关？如何降低系统的误码率？,无码间干扰时，基带传输系统的误码率与抽样判决时的信噪比有关。要降低系统的误码率需要提高抽样判决时的信噪比，可以降低信道噪声或者提高信号平均功率。
部分响应技术解决了什么为题？第Ⅳ类部分响应的特点是什么？,部分响应技术提高了频带利用率，降低了对定时精度的要求。第Ⅳ类部分响应的特点是无直流分量，其低频分量小，便于边带滤波实现单边带调制。
什么是频域均衡？什么是时域均衡？横向滤波器为什么能实现时域均衡？,频域均衡：利用可调滤波器的频率特性补偿基带系统的频率特性，使得包括可调滤波器在内的基带系统总的传输特性满足无码间串扰传输的要求。起频率特性补偿作用的可调滤波器叫频域均衡器。时域均衡器：在接受滤波器后插入一个称为横向滤波器的可调滤波器，这个横向滤波器可以将输入端在抽样时刻上有码间干扰的响应波形变换为在抽样上无码间干扰的响应波形。由于横向滤波器的均衡原理是在时域响应波形上的，所以称这种均衡为时域均衡。横向滤波器可以将输入端在抽样时刻上有码间干扰的响应波形变换成在抽样时刻上无码间干扰的响应波形，所以横向滤波器可以实现时域均衡。
什么是数字调制？它和模拟调制有哪些异同点？,数字调制是用载波信号的某些离散状态来表征传送的信息，在接收端对载波信号的离散调制参量进行检测。和模拟调制一样，数字调制也有调幅，调频和调相三种基本形式，并可以派生出多种其他形式。在原理上二者并没有什么区别。只不过模拟调制是对载波信号的参量进行离散调制，在接收端也只需对载波信号的离散调制参量估值。
数字调制的基本方式有哪些？其时间波形上各有什么特点？,数字调制技术有两种方法：一是利用模拟调制方法去实现数字式调制，即把数字调制看成是模拟调制的一个特例，把数字基带信号当成模拟信号的特殊情况处理。二是利用数字信号的离散取值的特点通过开关键控载波，从而实现数字调制，这种调制方式通常有幅度键控、频率键控和相位键控。其时间波形上来说，有可能是不连续的。
什么是振幅键控？OOK信号的产生和解调方法有哪些？,振幅键控：用载波幅度的有无来表示传送的信息，一般用开关电路来控制。OOK信号一般有两种产生方法：1，模拟幅度调制法。2，开关电路控制的键控法。OOK信号有两种解调方法：非相干解调（包络检波法）和相干解调法（同步检测法）。
2ASK信号传输带宽与波特率或基带信号的带宽有什么关系？,2ASK信号的带宽是基带信号带宽的两倍。
